Station Name,Street Address,Latitude,Longitude
AMZ SEA112 - 29,555 108th Ave NE,47.61461,-122.196465
AMZ SEA112 - 28,437 108th Ave NE,47.614901,-122.196644
AMZ SEA112 - 02,437 108th Ave NE,47.614574,-122.196404
AMZ SEA112 - 27,437 108th Ave NE,47.614596,-122.196464
AMZ SEA112 - 25,437 108th Ave NE,47.614582,-122.196477
AMZ SEA112 - 24,555 108th Ave NE,47.614607,-122.196471
AMZ SEA112 - 23,437 108th Ave NE,47.614569,-122.19648
AMZ SEA112 - 17,555 108th Ave NE,47.614592,-122.196456
UDR CHARGER 1,958 111th Ave NE,47.61868,-122.191821
UDR CHARGER 3,958 111th Ave NE,47.618669,-122.191761
HAMPTON INN NORTH FRONT,11505 NE 2nd Pl,47.612051,-122.186391
AMZ SEA112 - 26,437 108th Ave NE,47.614571,-122.196442
AMZ SEA112 - 01,555 108th Ave NE,47.614578,-122.196429
AMZ SEA112 - 05,437 108th Ave NE,47.614579,-122.196417
BLOCK 16 FB BELLEVUE 5,1288 123rd Ave NE,47.621784,-122.175908
E_SOFI SOFI #1,13180 SE Newport Way,47.571386,-122.164808
BLOCK 16 FB BELLEVUE 12,1288 123rd Ave NE,47.621808,-122.176051
BLOCK 24 FB STATION 7,12355 NE District Way,47.620905,-122.175829
Bellevue Nissan,14762 SE Eastgate Way,47.580655,-122.143364
ONE88 SPACE 216 - 217,188 Bellevue Way NE,47.61186,-122.20131
BELLEVUE DOWNTOWN PARK 2,10201 NE 4th St,47.61309,-122.206569
BLOCK 24 FB STATION 6,12355 NE District Way,47.620982,-122.175927
ESSEX BELLCENTERE 01,10822 NE 2nd Pl,47.612468,-122.194308
BLOCK 24 FB STATION 5,12355 NE District Wy,47.621169,-122.175976
BELLEVUE X-ROADS PARK 1,999 164th Ave NE,47.618255,-122.122606
THE SUMMIT THE SUMMIT - P2,10885 NE 4th St,47.613367,-122.194775
HQ Building 5 - P2,3625 132nd Avenue Southeast,47.578682,-122.1652854
HQ Building 1 - P2,3617 131st Avenue Southeast,47.578473,-122.1664985
BLOCK 16 FB BELLEVUE 23,1288 123rd Ave NE,47.621657,-122.175954
AMZ SEA94 14,333 108th Ave NE,47.613415,-122.196955
BELLEVUE SQUARE BELL SQ NORTH 1,Bellevue Square - North Building104th Ave NE,47.616971,-122.203009
BELLEVUE PLACE BELL PLACE #1,575 Bellevue Way NE,47.618331,-122.201301
Tower 333,333 108th Avenue Northeast,47.6133892,-122.1970996
CAR CHARGER #1 SOMA DUAL 1,288 106th Ave NE,47.612754,-122.198497
NORAM STATION 01,1550 121st Ave NE,47.622622,-122.177263
NORAM STATION 02,1550 121st Ave NE,47.622527,-122.1773
BLOCK 16 FB BELLEVUE 4,1288 123rd Ave NE,47.62183,-122.175707
Bellevue College - Garage,3000 Landerholm Cir SE,47.585655,-122.147284
SRO SP1,3535 Factoria Blvd SE,47.578784,-122.171273
Highland Village Apartments,14526 NE 7th Place,47.616737,-122.146188
BLOCK 16 FB BELLEVUE 10,1288 123rd Ave NE,47.621748,-122.175959
BLOCK 16 FB BELLEVUE 20,1288 123rd Ave NE,47.622044,-122.175811
BLOCK 16 FB BELLEVUE 19,1288 123rd Ave NE,47.621685,-122.176008
LINCOLN SQUARE LS NORTH DUAL 1,110 Bellevue Way NE,47.616416,-122.201146
BLOCK 16 FB BELLEVUE 22,1288 123rd Ave NE,47.621826,-122.175977
EASTGATE 15325 DUAL,15325 SE 30th Pl,47.584289,-122.136777
BELLEVUE 110TH & 10TH,938 110th Ave NE,47.61903,-122.19342
BELLEVUE X-ROADS PARK 2,999 164th Ave NE,47.618278,-122.122649
KRC SKYLINE STATION #5,10900 NE 4th St,47.613973,-122.194071
KRC SKYLINE STATION #4,10900 NE 4th St,47.613972,-122.194125
LINCOLN SQUARE LS NORTH DUAL 2,110 Bellevue Way NE,47.616372,-122.201111
BELLEVUE SQUARE BELL SQ WEST 5,600 100th Ave NE,47.615923,-122.20553
431605 : Avalon Meydenbauer,10410 Northeast 2nd Street,47.6121794,-122.2009976
LINC SQUARE EXP P5 1,410 Bellevue Way NE,47.614098,-122.200729
KGIP BELL SOUTH STATION 3,316 116th Ave NE,47.613355,-122.185049
Venn@Main - Tesla Supercharger,10333 NE 1st Street,47.611048,-122.202181
KGIP BELL SOUTH STATION 1,376 116th Ave NE,47.612661,-122.185158
KGIP BELL SOUTH STATION 6,316 116th Ave NE,47.612677,-122.185136
"BELLEVUECOLLEGE BC SSC,U BLDG1",3000 Landerholm Cir SE Bellevue,47.584556,-122.148459
"BELLEVUECOLLEGE BC SSC,U BLDG2",3000 Landerholm Cir SE,47.584536,-122.148517
Overlake Medical Pavilion - Garage 5,1231 116th Ave NE,47.621194,-122.186139
ESSEX SAMMAMISH VIEW,16160 SE Eastgate Way,47.577051,-122.125164
929 Office Tower,929 108th Avenue NE,47.618317,-122.1969022
Venn at Main Apartments,10333 NE 1st St,47.6110064,-122.2021671
BELLEVUE SQUARE BELL SQ WEST #1,2088 Bellevue Square,47.616107,-122.205532
Sunset North,3100 139th Avenue Southeast,47.582405,-122.153989
BLOCK 24 FB STATION 1,12355 NE District Wy,47.621179,-122.176023
BLOCK 16 FB BELLEVUE 1,1288 123rd Ave NE,47.621942,-122.175942
BLOCK 16 FB BELLEVUE 14,1288 123rd Ave NE,47.621921,-122.176015
SRO SP2,3545 Factoria Blvd SE,47.578255,-122.17137
BLOCK 24 FB STATION 4,12355 NE District Wy,47.62118,-122.175985
BLOCK 16 FB BELLEVUE 18,1288 123rd Ave NE,47.62211,-122.175807
BLOCK 24 FB STATION 8,12355 NE District Way,47.621055,-122.175961
531630 - HQ Building 3 - P4,12920 Southeast 38th Street,47.57668091,-122.1670054
LINC SQUARE EXP LSE P2 #2,432-492 Bellevue Way NE,47.614294,-122.201255
BELLEFIELD MADRONA 1,1300 114th Ave SE,47.599757,-122.187281
Somerset Gardens Apartments,14700 Northeast 29th Place,47.636824,-122.144188
HQ Building 3 - P1,12920 Southeast 38th Street,47.5766937,-122.1671315
BLOCK 24 FB STATION 2,12355 NE District Wy,47.62119,-122.176009
HQ Building 1 - P1,3617 131st Avenue SE,47.57932701,-122.1663053
ATRIUM GARAGE ATRIUM GARAGE,110 110th Ave NE,47.611456,-122.193235
HQ Building 5 - P1,3625 132nd Avenue Southeast,47.57858476,-122.1657146
Plaza East,11100 Northeast 8th Street,47.6177789,-122.1915562
Western Washington University,516 High Street (MS9114),48.7391984,-122.4851568
SEHOME HS SEHOME HIGH #1,2700 Bill McDonald Pkwy,48.727512,-122.48124
"Fred Meyer 667 (Bellingham, WA)",1225 W Bakerview Rd,48.78928,-122.5123
Interdisc Science Lot 9G,516 High Street,48.73423,-122.48795
Chuckanut Builders,1000 N State St,48.745308,-122.481071
INTEGRAND TROVE,218 N Samish Way,48.738079,-122.469392
"Bellingham 1, LLP",4040 Northwest Avenue,48.7885917,-122.5060156
BARKLEY VILLAGE CORNERSTONE 1,Cornerstone Ln,48.772296,-122.443265
1217 STATE SATURNA 01,1217 N State St,48.747824,-122.478347
Bellingham International Airport,4255 Mitchell Way,48.795524,-122.531874
Whole Foods Bellingham,1030 Lakeway Dr,48.74393,-122.461854
Community Food CoOp,315 Weterly Rd,48.791491,-122.492374
GARAGE COMMERCIAL ST 1,1300 Commercial St,48.750815,-122.47958
GARAGE SOUTH LOT,1100 Railroad Ave,48.747287,-122.480701
Bellis Fair 11 DCFC,1 Bellis Fair Pkwy,48.78545,-122.488347
Haggen's Bellingham #3449,210 36th St,48.7330226,-122.4712397
Bellis Fair,1 Bellis Fair Pkwy,48.78505083,-122.488855883
GARAGE TAYLOR DOCK,900 10th St,48.72532,-122.505152
TOBELLINGHAM TOB 1,1100 Iowa St,48.754914,-122.459858
GARAGE FAIRHAVEN PARK,Chuckanut Dr at Fairhaven Park,48.713154,-122.499368
Hotel Bellwether - Tesla Destination,1 Bellwether Way,48.754197,-122.496675
GARAGE WEST MAGNOLIA,104 W Magnolia St,48.751046,-122.477956
GARAGE SHUKSAN MEADOWS,Maplewood Ave at Cottonwood Ave,48.777522,-122.503621
Lummi Bay Market 260,4839 Rural Ave,48.815705,-122.555513
GARAGE NEVADA 1,2200 Nevada St,48.759581,-122.459056
BEL-EV BEL-EV 1,4051 Meridian St,48.78815,-122.487681
GARAGE COMMERCIAL ST 2,1300 Commercial St,48.750857,-122.479518
SEHOME HS SEHOME HIGH #2,2700 Bill McDonald Pkwy,48.72757,-122.48128
Best Western Plus Heritage Inn - Tesla Destination,151 McLeod Rd,48.783141,-122.484001
Fairhaven Parkway,3105 Old Fairhaven Pkwy,48.715337,-122.477684
BARKLEY VILLAGE REGAL CINEMA 2,3011 Cinema Pl,48.7707,-122.448772
Oxford Suites Bellingham - Tesla Destination,4051 Meridian St,48.788325,-122.48746
Bellingham Nissan,1516 Iowa St,48.755607,-122.454132
Best Western Plus - Heritage Inn,151 E McLeod Rd,48.783478,-122.484131
Bellingham - Sehome Village,222 36th St,48.73115,-122.47117
